product_type,product_field,name,description,price,Product_Webpage_url,product_issues
Mouse,Gaming Peripherals,Razer Viper V4 Pro - Black,"Symmetrical, ultra-lightweight wireless esports mouse in classic Black, optimized for claw and fingertip grips.",$159.99,https://www.razer.com/mouses/razer-viper-v4-pro---black,Smooth coating can feel slippery for users with dry hands; minor pre-travel on the side buttons.
Mouse,Gaming Peripherals,Razer Basilisk V3 Pro 35K - Black,Ergonomic wireless gaming mouse featuring Razer's ultra-precise 35K optical sensor and customizable underglow in Black.,$159.99,https://www.razer.com/mouses/razer-basilisk-v3-pro-35k---black,Smart-reel scroll wheel can rattle slightly during fast swipes; heavier weight isn't ideal for competitive flick shots.
Mouse,Gaming Peripherals,Razer Viper V4 Pro - White,"Symmetrical, ultra-lightweight wireless esports mouse in a clean White finish, engineered for competitive FPS gaming.",$159.99,https://www.razer.com/mouses/razer-viper-v4-pro---white,White matte coating requires frequent cleaning to prevent yellowing or dirt buildup.
Mouse,Gaming Peripherals,Razer Naga V2 HyperSpeed,Wireless MMO/MOBA gaming mouse with customizable side button plates and HyperSpeed connectivity for lag-free raiding.,$69.99,https://www.razer.com/mouses/razer-naga-v2-hyperspeed,Relies on AA batteries instead of internal USB-C recharging; side plate magnets can attract debris.
Mouse,Gaming Peripherals,Razer Cobra - Cinnamoroll Edition,"Lightweight wired gaming mouse featuring a special Sanrio Cinnamoroll theme, bringing pastel aesthetics to your setup.",$69.99,https://www.razer.com/mouses/razer-cobra---cinnamoroll-edition,Pastel aesthetic coating is highly prone to staining from hand oils over time.
Mouse,Gaming Peripherals,Razer DeathAdder V3,"Wired ergonomic gaming mouse carrying the legendary DeathAdder shape, significantly reduced in weight for modern esports.",$69.99,https://www.razer.com/mouses/razer-deathadder-v3,Completely lacks RGB lighting which some users expect; right-handed ergonomic shape alienates left-handed users.
Laptop,Gaming Systems,Razer Blade 16 - QHD+ 240 Hz OLED - GeForce RTX 5060 - Black,"Premium 16-inch gaming laptop featuring a QHD+ 240 Hz OLED display, powered by the NVIDIA GeForce RTX 5060, in a sleek Black CNC aluminum chassis.","$2,799.99",https://www.razer.com/laptops/razer-blade-16---qhd-240-hz-oled---geforce-rtx-5060---black,Fans can get noticeably loud during prolonged AAA gaming; matte chassis attracts fingerprints.
Laptop,Gaming Systems,Razer Blade 16 - QHD+ 240 Hz OLED - GeForce RTX 5090 - Black,"Enthusiast-grade 16-inch powerhouse with a QHD+ 240 Hz OLED screen and top-tier NVIDIA GeForce RTX 5090 graphics, finished in Black.","$4,299.99",https://www.razer.com/laptops/razer-blade-16---qhd-240-hz-oled---geforce-rtx-5090---black,Requires aggressive fan profiles to prevent thermal throttling on the 5090; very bulky power adapter.
Laptop,Gaming Systems,Refurbished Razer Blade 14 - 3K 120 Hz OLED - GeForce RTX 5060 - Black,"Highly portable, refurbished 14-inch gaming laptop equipped with a stunning 3K 120 Hz OLED panel and an RTX 5060 GPU.","$2,799.99",https://www.razer.com/laptops/refurbished-razer-blade-14---3k-120-hz-oled---geforce-rtx-5060---black,RAM is soldered and cannot be upgraded later; potential for minor battery degradation in refurbished units.
Laptop,Gaming Systems,Razer Blade 18 - Dual UHD+ 240 Hz | FHD+ 440 Hz - GeForce RTX 5090 - Black,Massive 18-inch desktop replacement featuring a dual-mode display (UHD+ 240 Hz or FHD+ 440 Hz) and the flagship RTX 5090.,"$4,299.99",https://www.razer.com/laptops/razer-blade-18---dual-uhd-240-hz-fhd-440-hz---geforce-rtx-5090---black,Extremely heavy and difficult to fit in standard bags; switching display modes sometimes prompts a system reboot.
