product_id,product_name,category,description,price_inr,status
RZ01,Razer DeathAdder V3 Pro,Mouse,"Ergonomic wireless gaming mouse featuring a 30K optical sensor, 90 million click lifecycle optical switches, and a 63g ultra-lightweight design tailored for right-handed palm grips.",149.99,Active
RZ02,Razer Viper V2 Pro,Mouse,"Symmetrical ultra-lightweight (58g) wireless esports mouse equipped with a Focus Pro 30K optical sensor, Gen-3 optical mouse switches, and up to 80 hours of battery life.",149.99,Active
RZ03,Razer Basilisk V3 Pro,Mouse,"Customizable wireless gaming mouse featuring 11 programmable buttons, a hyperscroll tilt wheel, 13-zone Chroma RGB underglow, and a 30K optical sensor for maximum utility.",159.99,Active
RZ04,Razer Huntsman V2,Keyboard,"Full-sized optical gaming keyboard featuring Razer Linear Optical Switches for near-zero latency, sound dampening foam, double-shot PBT keycaps, and a plush leatherette wrist rest.",199.99,Active
RZ05,Razer BlackWidow V4 Pro,Keyboard,"Premium mechanical gaming keyboard featuring green tactile switches, a dedicated command dial, 8 dedicated macro keys, magnetic plush wrist rest, and immersive 3-side Chroma underglow.",229.99,Active
RZ06,Razer Ornata V3,Keyboard,"Low-profile mecha-membrane gaming keyboard combining the soft touch of membrane with the crisp click of mechanical switches, UV-coated keycaps, and 10-zone Razer Chroma RGB.",69.99,Active
RZ07,Razer Kraken V3 Pro,Headset,"Wireless haptic gaming headset featuring Razer HyperSense technology for tactile feedback, TriForce Titanium 50mm drivers, and THX Spatial Audio for deep immersion.",199.99,Active
RZ08,Razer BlackShark V2 Pro,Headset,"Wireless premium esports gaming headset featuring TriForce Titanium 50mm drivers, a HyperClear Supercardioid mic, ultra-soft flowknit memory foam ear cushions, and 70-hour battery life.",199.99,Active
RZ09,Razer Barracuda Pro,Headset,"Wireless hybrid gaming and street headset equipped with Hybrid Active Noise Cancellation, THX Achromatic Audio Amplifier, and dual hidden noise-cancelling microphones.",249.99,Active
RZ10,Razer Seiren Mini,Microphone,"Ultra-compact condenser microphone featuring a supercardioid pickup pattern for precise audio capture, built-in shock mount, and a heavy-duty tilting stand for minimalist setups.",49.99,Active
RZ11,Razer Seiren V2 Pro,Microphone,"Professional-grade dynamic USB microphone featuring a high-pass filter to block low frequencies, analog gain limiter to prevent clipping, and mic monitoring for broadcast-quality streaming.",149.99,Active
RZ12,Razer Kiyo Pro,Camera,"High-performance USB webcam featuring a large 1/2.8-inch adaptive light sensor, uncompressed 1080p 60FPS video, HDR enabled at 30FPS, and a wide-angle lens with adjustable FOV.",199.99,Active
RZ13,Razer Blade 15,Laptop,"Premium 15.6-inch gaming laptop powered by an Intel Core i7-13800H and NVIDIA RTX 4070, featuring a QHD 240Hz display, vapor chamber cooling, and a CNC aluminum chassis.",2499.99,Active
RZ14,Razer Blade 16,Laptop,"High-performance 16-inch gaming laptop powered by an Intel Core i9-13950HX and NVIDIA RTX 4080, featuring a dual-mode Mini-LED display (UHD+ 120Hz / FHD+ 240Hz).",3299.99,Active
RZ15,Razer Blade 18,Laptop,"Desktop replacement 18-inch gaming laptop powered by an Intel Core i9-13980HX and NVIDIA RTX 4090, featuring a QHD+ 240Hz display, 6-speaker THX spatial audio array, and advanced cooling.",3799.99,Active
RZ16,Razer Iskur,Chair,"Ergonomic gaming chair featuring a fully sculpted built-in lumbar support system, multi-layered synthetic leather, high-density foam cushions, and 4D armrests for perfect posture.",499.99,Active
RZ17,Razer Enki,Chair,"All-day comfort gaming chair featuring 110-degree extended shoulder arches, ultrawide 21-inch seat base, reactive seat tilt, and premium dual-textured synthetic leather.",399.99,Active
RZ18,Razer Leviathan V2,Audio,"Multi-driver PC soundbar and subwoofer combo featuring THX Spatial Audio, Bluetooth 5.2, and 18 lighting zones powered by Razer Chroma RGB.",249.99,Active
RZ19,Razer Nommo V2 Pro,Audio,"Full-range 2.1 PC gaming speakers featuring 3-inch full-range drivers with aluminum phase plugs, a wireless down-firing subwoofer, and rear projection Razer Chroma RGB.",429.99,Active
RZ20,Razer Wolverine V2 Chroma,Controller,"Customizable wired Xbox and PC controller featuring mecha-tactile action buttons, 6 additional remappable multifunction buttons, interchangeable thumbsticks, and Razer Chroma RGB.",149.99,Active
RZ21,Razer Kishi V2,Mobile,"Universal mobile gaming controller for smartphones featuring microswitch buttons, analog triggers, programmable macros, and an extendable bridge for seamless compatibility.",99.99,Active
RZ22,Razer Hammerhead True Wireless,Earbuds,"Wireless gaming earbuds featuring Razer Chroma RGB, Active Noise Cancellation (ANC), 60ms low latency gaming mode, and dual environmental noise cancelling (ENC) microphones.",129.99,Active
